file,keyword,pos
DroopCount_context.csv,OKX,327710
DroopCount_context.csv,OKX,328142
DroopCount_context.csv,OKX,329461
DroopCount_context.csv,OKX,329889
DroopCount_context.csv,OKX,330321
DroopCount_context.csv,OKX,331641
DroopCount_context.csv,OKX,332068
DroopCount_context.csv,OKX,332500
DroopCount_context.csv,OKX,333818
DroopCount_context.csv,OKX,334246
DroopCount_context.csv,OKX,334678
DroopCount_context_10x.csv,OKX,434
DroopCount_context_10x.csv,OKX,918
DroopCount_context_10x.csv,OKX,1402
DroopCount_context_10x.csv,OKX,1886
DroopCount_context_10x.csv,OKX,2370
DroopCount_context_10x.csv,OKX,2854
DroopCount_context_10x.csv,OKX,3338
DroopCount_context_10x.csv,OKX,3822
DroopCount_context_10x.csv,OKX,4306
DroopCount_context_10x.csv,OKX,4791
DroopCount_context_10x.csv,OKX,5276
DroopCount_context_10x.csv,OKX,5761
DroopCount_context_10x.csv,OKX,6246
DroopCount_context_10x.csv,OKX,6731
DroopCount_context_10x.csv,OKX,7216
DroopCount_context_10x.csv,OKX,7701
DroopCount_context_10x.csv,OKX,8186
DroopCount_context_10x.csv,OKX,8671
DroopCount_context_10x.csv,OKX,9156
DroopCount_context_10x.csv,OKX,9642
DroopCount_context_10x.csv,OKX,10127
DroopCount_context_10x.csv,OKX,10612
DroopCount_context_10x.csv,OKX,11097
DroopCount_context_10x.csv,OKX,11582
DroopCount_context_10x.csv,OKX,12067
DroopCount_context_10x.csv,OKX,12552
DroopCount_context_10x.csv,OKX,13037
DroopCount_context_10x.csv,OKX,13522
DroopCount_context_10x.csv,OKX,14007
DroopCount_context_10x.csv,OKX,14493
DroopCount_context_10x.csv,OKX,14648
DroopCount_context_10x.csv,OKX,14729
DroopCount_context_10x.csv,OKX,14810
DroopCount_context_10x.csv,OKX,14891
DroopCount_context_10x.csv,OKX,14972
DroopCount_context_10x.csv,OKX,15053
DroopCount_context_10x.csv,OKX,15134
DroopCount_context_10x.csv,OKX,15215
DroopCount_context_10x.csv,OKX,15296
DroopCount_context_10x.csv,OKX,15378
DroopCount_context_10x.csv,OKX,15512
DroopCount_context_10x.csv,OKX,15747
DroopCount_context_10x.csv,OKX,15982
DroopCount_context_10x.csv,OKX,16217
DroopCount_context_10x.csv,OKX,16452
DroopCount_context_10x.csv,OKX,16687
DroopCount_context_10x.csv,OKX,16922
DroopCount_context_10x.csv,OKX,17157
DroopCount_context_10x.csv,OKX,17392
DroopCount_context_10x.csv,OKX,17628
DroopCount_context_10x.csv,OKX,17819
DroopCount_context_10x.csv,OKX,17909
DroopCount_context_10x.csv,OKX,17999
DroopCount_context_10x.csv,OKX,18089
DroopCount_context_10x.csv,OKX,18179
DroopCount_context_10x.csv,OKX,18269
DroopCount_context_10x.csv,OKX,18359
DroopCount_context_10x.csv,OKX,18449
DroopCount_context_10x.csv,OKX,18539
DroopCount_context_10x.csv,OKX,18630
DroopCount_context_10x.csv,OKX,19085
DroopCount_context_10x.csv,OKX,19630
DroopCount_context_10x.csv,OKX,20175
DroopCount_context_10x.csv,OKX,20720
DroopCount_context_10x.csv,OKX,21265
DroopCount_context_10x.csv,OKX,21810
DroopCount_context_10x.csv,OKX,22355
DroopCount_context_10x.csv,OKX,22900
DroopCount_context_10x.csv,OKX,23445
DroopCount_context_10x.csv,OKX,23991
DroopCount_context_10x.csv,OKX,24537
DroopCount_context_10x.csv,OKX,25083
DroopCount_context_10x.csv,OKX,25629
DroopCount_context_10x.csv,OKX,26175
DroopCount_context_10x.csv,OKX,26721
DroopCount_context_10x.csv,OKX,27267
DroopCount_context_10x.csv,OKX,27813
DroopCount_context_10x.csv,OKX,28359
DroopCount_context_10x.csv,OKX,28905
DroopCount_context_10x.csv,OKX,29452
DroopCount_context_10x.csv,OKX,29998
DroopCount_context_10x.csv,OKX,30544
DroopCount_context_10x.csv,OKX,31090
DroopCount_context_10x.csv,OKX,31636
DroopCount_context_10x.csv,OKX,32182
DroopCount_context_10x.csv,OKX,32728
DroopCount_context_10x.csv,OKX,33274
DroopCount_context_10x.csv,OKX,33820
DroopCount_context_10x.csv,OKX,34366
DroopCount_context_10x.csv,OKX,34913
DroopCount_context_10x.csv,OKX,35459
DroopCount_context_10x.csv,OKX,36005
DroopCount_context_10x.csv,OKX,36551
DroopCount_context_10x.csv,OKX,37097
DroopCount_context_10x.csv,OKX,37643
DroopCount_context_10x.csv,OKX,38189
DroopCount_context_10x.csv,OKX,38735
DroopCount_context_10x.csv,OKX,39281
DroopCount_context_10x.csv,OKX,39827
DroopCount_context_10x.csv,OKX,40374
DroopCount_context_10x.csv,OKX,40920
DroopCount_context_10x.csv,OKX,41466
DroopCount_context_10x.csv,OKX,42012
DroopCount_context_10x.csv,OKX,42558
DroopCount_context_10x.csv,OKX,43104
DroopCount_context_10x.csv,OKX,43650
DroopCount_context_10x.csv,OKX,44196
DroopCount_context_10x.csv,OKX,44742
DroopCount_context_10x.csv,OKX,45288
DroopCount_context_10x.csv,OKX,45835
DroopCount_context_10x.csv,OKX,46381
DroopCount_context_10x.csv,OKX,46927
DroopCount_context_10x.csv,OKX,47473
DroopCount_context_10x.csv,OKX,48019
DroopCount_context_10x.csv,OKX,48565
DroopCount_context_10x.csv,OKX,49111
DroopCount_context_10x.csv,OKX,49657
DroopCount_context_10x.csv,OKX,50203
DroopCount_context_10x.csv,OKX,50749
DroopCount_context_10x.csv,OKX,51296
DroopCount_context_10x.csv,OKX,51843
DroopCount_context_10x.csv,OKX,52390
DroopCount_context_10x.csv,OKX,52937
DroopCount_context_10x.csv,OKX,53484
DroopCount_context_10x.csv,OKX,54031
DroopCount_context_10x.csv,OKX,54578
DroopCount_context_10x.csv,OKX,55125
DroopCount_context_10x.csv,OKX,55672
DroopCount_context_10x.csv,OKX,56219
DroopCount_context_10x.csv,OKX,56767
DroopCount_context_10x.csv,OKX,57314
DroopCount_context_10x.csv,OKX,57861
DroopCount_context_10x.csv,OKX,58408
DroopCount_context_10x.csv,OKX,58955
DroopCount_context_10x.csv,OKX,59502
DroopCount_context_10x.csv,OKX,60049
DroopCount_context_10x.csv,OKX,60596
